Date,Dam condition,Site,Replicate,Acarina,Amphipoda,Araneae,Coleoptera,Collembola,Cyclopodia,Diptera,Gastropoda,Harpacticoida,Hemiptera,Hirudinea,Hymenoptera,Megaloptera,Nematoda,Odonata,Oligochaeta,Ostracoda,Psocoptera,Thysanoptera,Trichoptera
5/17/2007,Before,WESC,3,0,0,0,0,0,0,74,0,0,0,0,0,0,0,5,0,0,0,0,0
5/17/2007,Before,WESC,4,3,0,0,0,0,0,185,0,1,0,0,0,0,0,0,0,0,0,0,0
5/17/2007,Before,WESC,5,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,58,1,0,0,0
7/16/2007,Before,ES1,1,0,0,0,1,0,0,68,0,0,0,0,0,0,0,0,74,4,0,0,0
7/16/2007,Before,ES1,2,2,18,0,0,0,0,45,0,0,0,0,0,0,0,0,70,0,0,0,1
7/16/2007,Before,ES1,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7/16/2007,Before,ES2,1,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,3
7/16/2007,Before,ES2,2,5,1,0,0,0,0,93,0,0,0,0,0,0,0,0,0,2,0,0,0
7/16/2007,Before,ES2,3,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1
7/16/2007,Before,ES2,4,6,0,0,0,0,0,36,0,0,0,0,0,0,0,0,137,12,0,0,0
7/16/2007,Before,ES2,5,5,0,0,0,0,0,85,1,0,0,0,0,0,1,0,0,13,0,0,5
7/16/2007,Before,ES2,6,0,1,0,1,0,1,41,0,0,0,0,0,0,0,1,0,0,0,0,1
7/16/2007,Before,ES2,7,4,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
7/16/2007,Before,ES2,8,0,1,0,0,0,0,44,0,0,0,0,0,0,0,0,2,2,0,0,9
7/16/2007,Before,IEC,1,0,2,0,0,0,0,89,0,0,0,0,0,0,0,0,2,1,0,0,6
7/16/2007,Before,IEC,2,1,0,0,0,0,0,34,0,0,0,0,0,0,1,0,53,0,0,0,0
7/16/2007,Before,WESC,1,0,1,0,0,0,0,95,0,0,0,0,0,0,0,0,45,1,0,0,0
7/16/2007,Before,WESC,2,0,1,0,0,0,0,77,0,0,0,0,0,0,0,5,0,1,0,0,1
7/16/2007,Before,WESC,3,1,1,0,0,0,0,190,0,0,0,0,0,0,0,0,110,7,0,0,0
7/16/2007,Before,WESC,4,0,9,0,0,0,0,15,3,0,0,0,0,0,0,0,1,0,0,0,0
7/16/2007,Before,WESC,5,4,0,0,1,0,0,158,2,0,0,0,0,0,0,0,0,12,0,0,0
9/16/2007,Before,ES1,1,2,814,0,0,0,0,22,0,0,0,0,0,0,0,0,75,1,0,0,0
9/16/2007,Before,ES1,2,0,1387,0,0,0,0,49,0,0,0,0,0,0,0,0,44,0,0,0,0
9/16/2007,Before,ES1,3,0,601,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0
9/16/2007,Before,ES2,1,1,3,0,0,0,0,28,0,0,0,0,0,1,0,0,0,19,0,0,0
9/16/2007,Before,ES2,2,1,3,0,0,0,0,24,1,0,0,0,0,0,0,4,0,7,0,0,0
9/16/2007,Before,ES2,3,0,2,0,0,0,0,12,0,0,0,0,0,2,0,1,3,19,0,0,0
9/16/2007,Before,ES2,4,1,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,8,0,0,0
9/16/2007,Before,ES2,5,8,2,0,2,0,0,22,2,0,0,1,0,0,0,0,61,1,0,0,0
9/16/2007,Before,ES2,6,3,2,0,0,0,0,63,6,0,0,0,0,1,0,0,4,161,0,0,0
9/16/2007,Before,ES2,7,7,1,0,0,0,0,34,2,0,0,0,0,0,0,0,2,17,0,0,0
9/16/2007,Before,IEC,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0
9/16/2007,Before,IEC,2,1,40,0,0,0,0,149,0,0,0,0,0,0,0,0,0,1,0,0,0
9/16/2007,Before,WESC,1,1,3,0,0,0,0,43,0,0,0,0,0,0,0,1,0,0,0,0,0
9/16/2007,Before,WESC,2,0,10,0,0,0,0,68,0,0,0,0,0,0,0,9,0,0,0,0,0
9/16/2007,Before,WESC,3,0,1,0,0,0,0,14,2,0,0,0,0,0,0,1,0,1,0,0,0
9/16/2007,Before,WESC,4,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,11,3,0,0,0
5/15/2013,During,ES1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5/15/2013,During,ES1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
5/15/2013,During,ES2,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0
5/15/2013,During,ES2,2,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0
5/15/2013,During,ES2,3,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,15,0,0,0,0
5/15/2013,During,ES2,4,6,0,0,1,0,0,28,0,0,0,0,0,0,0,0,106,0,0,0,0
5/15/2013,During,ES2,5,0,1,0,1,1,0,18,0,0,0,0,0,0,0,0,180,0,0,1,0
5/15/2013,During,ES2,6,3,0,0,0,0,0,10,0,0,0,1,0,0,2,0,34,0,0,0,0
5/15/2013,During,ES2,7,1,0,0,0,0,0,18,3,0,0,0,0,0,7,0,87,0,0,0,0
5/15/2013,During,ES2,8,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,14,0,0,0,0
5/15/2013,During,IEC,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5/15/2013,During,IEC,2,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,22.5,0,0,0,0
5/15/2013,During,IEC,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.5,0,0,0,0
5/15/2013,During,WESC,1,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
5/15/2013,During,WESC,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5/15/2013,During,WESC,3,0,0,0,1,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0
5/15/2013,During,WESC,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,1,0,0
5/15/2013,During,WESC,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
7/15/2013,During,ES1,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2013,During,ES1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2013,During,ES2,1,2,0,1,0,0,0,11,1,0,0,2,0,0,0,0,121,0,0,0,0
7/15/2013,During,ES2,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,119,0,0,0,0
7/15/2013,During,ES2,3,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0
7/15/2013,During,ES2,4,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,9,0,0,0,0
7/15/2013,During,ES2,5,49,0,0,0,0,0,33,0,0,0,0,0,0,0,0,2,0,0,0,0
7/15/2013,During,ES2,6,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,28,0,0,0,0
7/15/2013,During,ES2,7,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,38,0,0,0,0
7/15/2013,During,ES2,8,1,0,0,0,0,1,21,0,0,0,0,0,0,0,0,3,0,0,0,0
7/15/2013,During,IEC,1,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,60,0,0,0,0
7/15/2013,During,IEC,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,0,0,0,0
7/15/2013,During,IEC,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0
7/15/2013,During,WESC,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2013,During,WESC,2,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0
7/15/2013,During,WESC,3,4,0,0,0,0,0,4,1,0,1,0,0,0,0,0,287,0,0,0,0
7/15/2013,During,WESC,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7/15/2013,During,WESC,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16/2013,During,ES1,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3,0,0,0,0
9/16/2013,During,ES1,2,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0
9/16/2013,During,ES2,1,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,19,0,0,0,0
9/16/2013,During,ES2,2,5,0,0,0,0,0,11,0,0,0,0,1,0,0,0,13,0,0,0,0
9/16/2013,During,ES2,3,4,0,0,0,0,0,19,0,0,0,0,0,1,0,0,41,0,0,0,0
9/16/2013,During,ES2,4,1,0,0,1,0,0,16,0,0,0,0,0,1,0,0,5,0,0,0,0
9/16/2013,During,ES2,5,7,0,0,0,0,1,50,2,0,0,0,0,0,0,0,164,0,0,0,0
9/16/2013,During,ES2,6,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,19,0,0,0,0
9/16/2013,During,ES2,7,3,0,0,0,0,0,23,0,0,0,1,0,0,0,0,6,0,0,0,0
9/16/2013,During,ES2,8,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,15,0,0,0,0
9/16/2013,During,IEC,1,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0
9/16/2013,During,IEC,2,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16/2013,During,IEC,3,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0
9/16/2013,During,WESC,1,4,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16/2013,During,WESC,2,4,0,0,0,0,0,100,2,0,0,0,0,0,0,0,25,0,0,0,0
9/16/2013,During,WESC,3,4,0,0,0,0,0,65,0,0,0,0,0,0,0,0,148,0,0,0,0
9/16/2013,During,WESC,4,3,0,0,0,0,0,27,0,0,0,1,0,0,0,1,24,0,0,0,0
9/16/2013,During,WESC,5,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
